Thread,Trace,x86 Instructions,uOps,nops,Finished at Clock,IPC,uOps IPC
0,In/Traces/bwave.trc,592826,645192,2607,349065,1.69833,1.84834
1,In/Traces/bwave.trc,592826,645192,2607,349065,1.69833,1.84834
2,In/Traces/bwave.trc,592826,645192,2607,349065,1.69833,1.84834
3,In/Traces/bwave.trc,592826,645192,2607,349065,1.69833,1.84834
4,In/Traces/bwave.trc,592826,645192,2607,349065,1.69833,1.84834
5,In/Traces/bwave.trc,592826,645192,2607,349274,1.69731,1.84724
6,In/Traces/bwave.trc,592826,645192,2607,349274,1.69731,1.84724
7,In/Traces/bwave.trc,592826,645192,2607,349274,1.69731,1.84724
8,In/Traces/bwave.trc,592826,645192,2607,349274,1.69731,1.84724
9,In/Traces/bwave.trc,592826,645192,2607,349274,1.69731,1.84724
